"TaskName","TaskPath","Description","Actions","Arguments"
"CreateExplorerShellUnelevatedTask","\",,"C:\Windows\Explorer.EXE","/NOUACCHECK"
"User_Feed_Synchronization-{626A69CF-A127-4E17-92B6-17A23BB6D456}","\","Updates out-of-date system feeds.","C:\Windows\system32\msfeedssync.exe","sync"
".NET Framework NGEN v4.0.30319","\Microsoft\Windows\.NET Framework\",,"",""
".NET Framework NGEN v4.0.30319 64","\Microsoft\Windows\.NET Framework\",,"",""
".NET Framework NGEN v4.0.30319 64 Critical","\Microsoft\Windows\.NET Framework\",,"",""
".NET Framework NGEN v4.0.30319 Critical","\Microsoft\Windows\.NET Framework\",,"",""
"AD RMS Rights Policy Template Management (Automated)","\Microsoft\Windows\Active Directory Rights Management Services Client\","Updates the AD RMS rights policy templates for the user. This job does not provide a credential prompt if authentication to the template distribution web service on the server fails. In this case, it fails silently.","",""
"AD RMS Rights Policy Template Management (Manual)","\Microsoft\Windows\Active Directory Rights Management Services Client\","Updates the AD RMS rights policy templates for the user. This job provides a credential prompt if authentication to the template distribution web service on the server fails.","",""
"EDP Policy Manager","\Microsoft\Windows\AppID\","This task performs steps necessary to configure Windows Information Protection.","",""
"PolicyConverter","\Microsoft\Windows\AppID\","Converts the software restriction policies policy from XML into binary format.","%windir%\system32\appidpolicyconverter.exe",""
"VerifiedPublisherCertStoreCheck","\Microsoft\Windows\AppID\","Inspects the AppID certificate cache for invalid or revoked certificates.","%windir%\system32\appidcertstorecheck.exe",""
"Microsoft Compatibility Appraiser","\Microsoft\Windows\Application Experience\","Collects program telemetry information if opted-in to the Microsoft Customer Experience Improvement Program.","%windir%\system32\compattelrunner.exe",""
"ProgramDataUpdater","\Microsoft\Windows\Application Experience\","$(@%SystemRoot%\system32\invagent.dll,-702)","%windir%\system32\compattelrunner.exe","-maintenance"
"StartupAppTask","\Microsoft\Windows\Application Experience\","Scans startup entries and raises notification to the user if there are too many startup entries.","%windir%\system32\rundll32.exe","Startupscan.dll,SusRunTask"
"appuriverifierdaily","\Microsoft\Windows\ApplicationData\","Verifies AppUriHandler host registrations.","%windir%\system32\AppHostRegistrationVerifier.exe",""
"appuriverifierinstall","\Microsoft\Windows\ApplicationData\","Verifies AppUriHandler host registrations.","%windir%\system32\AppHostRegistrationVerifier.exe",""
"CleanupTemporaryState","\Microsoft\Windows\ApplicationData\","Cleans up each package's unused temporary files.","%windir%\system32\rundll32.exe","Windows.Storage.ApplicationData.dll,CleanupTemporaryState"
"DsSvcCleanup","\Microsoft\Windows\ApplicationData\","Performs maintenance for the Data Sharing Service.","%windir%\system32\dstokenclean.exe",""
"Pre-staged app cleanup","\Microsoft\Windows\AppxDeploymentClient\",,"%windir%\system32\rundll32.exe","%windir%\system32\AppxDeploymentClient.dll,AppxPreStageCleanupRunTask"
"Proxy","\Microsoft\Windows\Autochk\","This task collects and uploads autochk SQM data if opted-in to the Microsoft Customer Experience Improvement Program.","%windir%\system32\rundll32.exe","/d acproxy.dll,PerformAutochkOperations"
"BitLocker Encrypt All Drives","\Microsoft\Windows\BitLocker\",,"",""
"BitLocker MDM policy Refresh","\Microsoft\Windows\BitLocker\",,"",""
"UninstallDeviceTask","\Microsoft\Windows\Bluetooth\","Uninstalls the PnP device associated with the specified Bluetooth service ID","BthUdTask.exe","$(Arg0)"
"BgTaskRegistrationMaintenanceTask","\Microsoft\Windows\BrokerInfrastructure\","Maintains registrations for background tasks for Universal Windows Platform applications.","",""
"AikCertEnrollTask","\Microsoft\Windows\CertificateServicesClient\","This task enrolls a certificate for Attestation Identity Key.","",""
"CryptoPolicyTask","\Microsoft\Windows\CertificateServicesClient\","This task synchronizes cryptographic policy.","",""
"KeyPreGenTask","\Microsoft\Windows\CertificateServicesClient\","This task pre-generates TPM based Attestation Identity Key (AIK) and Storage Key (SK).","",""
"SystemTask","\Microsoft\Windows\CertificateServicesClient\","Certificate Services Client automatically manages digital identities such as Certificates, Keys and Credentials for the users and the machine, enabling enrollment, roaming and other services.","",""
"UserTask","\Microsoft\Windows\CertificateServicesClient\","Certificate Services Client automatically manages digital identities such as Certificates, Keys and Credentials for the users and the machine, enabling enrollment, roaming and other services.","",""
"UserTask-Roam","\Microsoft\Windows\CertificateServicesClient\","Certificate Services Client automatically manages digital identities such as Certificates, Keys and Credentials for the users and the machine, enabling enrollment, roaming and other services.","",""
"ProactiveScan","\Microsoft\Windows\Chkdsk\","NTFS Volume Health Scan","",""
"SyspartRepair","\Microsoft\Windows\Chkdsk\",,"%windir%\system32\bcdboot.exe","%windir% /sysrepair"
"License Validation","\Microsoft\Windows\Clip\","Windows Store legacy license migration task","%SystemRoot%\system32\ClipUp.exe","-p -s -o"
"CreateObjectTask","\Microsoft\Windows\CloudExperienceHost\",,"",""
"Consolidator","\Microsoft\Windows\Customer Experience Improvement Program\","If the user has consented to participate in the Windows Customer Experience Improvement Program, this job collects and sends usage data to Microsoft.","%SystemRoot%\System32\wsqmcons.exe",""
"UsbCeip","\Microsoft\Windows\Customer Experience Improvement Program\","The USB CEIP (Customer Experience Improvement Program) task collects Universal Serial Bus related statistics and information about your machine and sends it to the Windows Device Connectivity engineering group at Microsoft.  The information received is used to help improve the reliability, stability, and overall functionality of USB in Windows.  If the user has not consented to participate in Windows CEIP, this task does not do anything.","",""
"Data Integrity Scan","\Microsoft\Windows\Data Integrity Scan\","Scans fault-tolerant volumes for latent corruptions","",""
"Data Integrity Scan for Crash Recovery","\Microsoft\Windows\Data Integrity Scan\","Scans fault-tolerant volumes for fast crash recovery","",""
"ScheduledDefrag","\Microsoft\Windows\Defrag\","This task optimizes local storage drives.","%windir%\system32\defrag.exe","-c -h -k -g -$"
"Device","\Microsoft\Windows\Device Information\",,"%windir%\system32\devicecensus.exe",""
"Metadata Refresh","\Microsoft\Windows\Device Setup\","Performs a device metadata refresh on a periodic basis","",""
"Scheduled","\Microsoft\Windows\Diagnosis\","The Windows Scheduled Maintenance Task performs periodic maintenance of the computer system by fixing problems automatically or reporting them through Security and Maintenance.","",""
"DXGIAdapterCache","\Microsoft\Windows\DirectX\",,"%windir%\system32\dxgiadaptercache.exe",""
"SilentCleanup","\Microsoft\Windows\DiskCleanup\","Maintenance task used by the system to launch a silent auto disk cleanup when running low on free disk space.","%windir%\system32\cleanmgr.exe","/autoclean /d %systemdrive%"
"Microsoft-Windows-DiskDiagnosticDataCollector","\Microsoft\Windows\DiskDiagnostic\","The Windows Disk Diagnostic reports general disk and system information to Microsoft for users participating in the Customer Experience Program.","%windir%\system32\rundll32.exe","dfdts.dll,DfdGetDefaultPolicyAndSMART"
"Microsoft-Windows-DiskDiagnosticResolver","\Microsoft\Windows\DiskDiagnostic\","The Microsoft-Windows-DiskDiagnosticResolver warns users about faults reported by hard disks that support the Self Monitoring and Reporting Technology (S.M.A.R.T.) standard. This task is triggered automatically by the Diagnostic Policy Service when a S.M.A.R.T. fault is detected.","%windir%\system32\DFDWiz.exe",""
"Diagnostics","\Microsoft\Windows\DiskFootprint\",,"%windir%\system32\disksnapshot.exe","-z"
"StorageSense","\Microsoft\Windows\DiskFootprint\",,"",""
"EDP App Launch Task","\Microsoft\Windows\EDP\",,"",""
"EDP Auth Task","\Microsoft\Windows\EDP\",,"",""
"EDP Inaccessible Credentials Task","\Microsoft\Windows\EDP\",,"",""
"StorageCardEncryption Task","\Microsoft\Windows\EDP\",,"",""
"ExploitGuard MDM policy Refresh","\Microsoft\Windows\ExploitGuard\","Task for applying changes to the machine's Exploit Protection settings.","",""
"Property Definition Sync","\Microsoft\Windows\File Classification Infrastructure\","Synchronizes the File Classification Infrastructure taxonomy on the computer with the resource property definitions stored in Active Directory Domain Services.","",""
"ReconcileFeatures","\Microsoft\Windows\Flighting\FeatureConfig\","Task periodically reconciling feature configurations","",""
"RefreshCache","\Microsoft\Windows\Flighting\OneSettings\","Task periodically refreshing data for OneSettings clients.","",""
"ScanForUpdates","\Microsoft\Windows\InstallService\",,"",""
"ScanForUpdatesAsUser","\Microsoft\Windows\InstallService\",,"",""
"SmartRetry","\Microsoft\Windows\InstallService\",,"",""
"WakeUpAndContinueUpdates","\Microsoft\Windows\InstallService\",,"",""
"WakeUpAndScanForUpdates","\Microsoft\Windows\InstallService\",,"",""
"Installation","\Microsoft\Windows\LanguageComponentsInstaller\","Install language components that match the user's language list.","",""
"Uninstallation","\Microsoft\Windows\LanguageComponentsInstaller\","Uninstall language components that are not in any user's language list.","",""
"TempSignedLicenseExchange","\Microsoft\Windows\License Manager\","Exchanges temporary preinstalled licenses for Windows Store licenses.","",""
"Notifications","\Microsoft\Windows\Location\","Location Notification","%windir%\System32\LocationNotificationWindows.exe",""
"WindowsActionDialog","\Microsoft\Windows\Location\","Location Notification","%windir%\System32\WindowsActionDialog.exe",""
