Name	Group	Profile	Enabled	Action	Override	Program	Local Address	Remote Address	Protocol	Local Port	Remote Port	Authorized Users	Authorized Computers	Authorized Local Principals	Local User Owner	Application Package	
Firefox (C:\Program Files\Mozilla Firefox)		Private	Yes	Allow	No	C:\Program Files\Mozilla Firefox\firefox.exe	Any	Any	TCP	Any	Any	Any	Any	Any	Any	Any	
Firefox (C:\Program Files\Mozilla Firefox)		Private	Yes	Allow	No	C:\Program Files\Mozilla Firefox\firefox.exe	Any	Any	UDP	Any	Any	Any	Any	Any	Any	Any	
Active Directory Domain Controller -  Echo Request (ICMPv4-In)	Active Directory Domain Services	All	Yes	Allow	No	System	Any	Any	ICMPv4	Any	Any	Any	Any	Any	Any	Any	
Active Directory Domain Controller -  Echo Request (ICMPv6-In)	Active Directory Domain Services	All	Yes	Allow	No	System	Any	Any	ICMPv6	Any	Any	Any	Any	Any	Any	Any	
Active Directory Domain Controller - LDAP (TCP-In)	Active Directory Domain Services	All	Yes	Allow	No	%systemroot%\System32\lsass.exe	Any	Any	TCP	389	Any	Any	Any	Any	Any	Any	
Active Directory Domain Controller - LDAP (UDP-In)	Active Directory Domain Services	All	Yes	Allow	No	%systemroot%\System32\lsass.exe	Any	Any	UDP	389	Any	Any	Any	Any	Any	Any	
Active Directory Domain Controller - LDAP for Global Catalog (TCP-In)	Active Directory Domain Services	All	Yes	Allow	No	%systemroot%\System32\lsass.exe	Any	Any	TCP	3268	Any	Any	Any	Any	Any	Any	
Active Directory Domain Controller - NetBIOS name resolution (UDP-In)	Active Directory Domain Services	All	Yes	Allow	No	System	Any	Any	UDP	138	Any	Any	Any	Any	Any	Any	
Active Directory Domain Controller - SAM/LSA (NP-TCP-In)	Active Directory Domain Services	All	Yes	Allow	No	System	Any	Any	TCP	445	Any	Any	Any	Any	Any	Any	
Active Directory Domain Controller - SAM/LSA (NP-UDP-In)	Active Directory Domain Services	All	Yes	Allow	No	System	Any	Any	UDP	445	Any	Any	Any	Any	Any	Any	
Active Directory Domain Controller - Secure LDAP (TCP-In)	Active Directory Domain Services	All	Yes	Allow	No	%systemroot%\System32\lsass.exe	Any	Any	TCP	636	Any	Any	Any	Any	Any	Any	
Active Directory Domain Controller - Secure LDAP for Global Catalog (TCP-In)	Active Directory Domain Services	All	Yes	Allow	No	%systemroot%\System32\lsass.exe	Any	Any	TCP	3269	Any	Any	Any	Any	Any	Any	
Active Directory Domain Controller - W32Time (NTP-UDP-In)	Active Directory Domain Services	All	Yes	Allow	No	%systemroot%\System32\svchost.exe	Any	Any	UDP	123	Any	Any	Any	Any	Any	Any	
Active Directory Domain Controller (RPC)	Active Directory Domain Services	All	Yes	Allow	No	%systemroot%\System32\lsass.exe	Any	Any	TCP	RPC Dynamic Ports	Any	Any	Any	Any	Any	Any	
Active Directory Domain Controller (RPC-EPMAP)	Active Directory Domain Services	All	Yes	Allow	No	%systemroot%\system32\svchost.exe	Any	Any	TCP	RPC Endpoint Mapper	Any	Any	Any	Any	Any	Any	
Active Directory Web Services (TCP-In)	Active Directory Web Services	All	Yes	Allow	No	%systemroot%\ADWS\Microsoft.ActiveDirectory.WebServices.exe	Any	Any	TCP	9389	Any	Any	Any	Any	Any	Any	
AllJoyn Router (TCP-In)	AllJoyn Router	Domain, Private	Yes	Allow	No	%SystemRoot%\system32\svchost.exe	Any	Any	TCP	9955	Any	Any	Any	Any	Any	Any	
AllJoyn Router (UDP-In)	AllJoyn Router	Domain, Private	Yes	Allow	No	%SystemRoot%\system32\svchost.exe	Any	Any	UDP	Any	Any	Any	Any	Any	Any	Any	
BranchCache Content Retrieval (HTTP-In)	BranchCache - Content Retrieval (Uses HTTP)	All	No	Allow	No	SYSTEM	Any	Any	TCP	80	Any	Any	Any	Any	Any	Any	
BranchCache Hosted Cache Server (HTTP-In)	BranchCache - Hosted Cache Server (Uses HTTPS)	All	No	Allow	No	SYSTEM	Any	Any	TCP	80, 443	Any	Any	Any	Any	Any	Any	
